,material,demand_date,total_quantity,safety stock
0,7430935-05,05/20/21,587,60
1,7430935-05,05/20/21,527,60
2,7430935-05,05/20/21,706,60
3,7430935-05,05/20/21,700,60
4,7430935-05,05/20/21,502,60
5,7430935-05,05/21/21,682,60
6,7430935-05,05/21/21,678,60
7,7430935-05,05/21/21,404,60
8,7430935-05,05/22/21,409,60
9,7430935-05,05/22/21,584,60
10,7430935-05,05/22/21,410,60
11,7430935-05,05/23/21,521,60
12,7430935-05,05/23/21,461,60
13,7430935-05,05/24/21,649,60
14,7430935-05,05/24/21,647,60
15,7430935-05,05/24/21,429,60
16,7430935-05,05/24/21,648,60
17,7430935-05,05/24/21,432,60
18,7430935-05,05/25/21,669,60
19,7430935-05,05/25/21,667,60
20,7430935-05,05/25/21,520,60
21,7430935-05,05/25/21,432,60
22,7430935-05,05/25/21,672,60
23,7430935-05,05/25/21,669,60
24,7430935-05,05/25/21,521,60
25,7430935-05,05/26/21,760,60
26,7430935-05,05/26/21,757,60
27,7430935-05,05/26/21,527,60
28,7430935-05,05/26/21,761,60
29,7430935-05,05/26/21,759,60
30,7430935-05,05/27/21,707,60
31,7430935-05,05/27/21,451,60
32,7430935-05,05/27/21,710,60
33,7430935-05,05/27/21,708,60
34,7430935-05,05/27/21,452,60
35,7430935-05,05/28/21,451,60
36,7430935-05,05/28/21,571,60
37,7430935-05,05/28/21,566,60
38,7430935-05,05/28/21,316,60
39,7430935-05,05/28/21,572,60
40,7430935-05,05/28/21,567,60
41,7430935-05,05/28/21,315,60
42,7430935-05,05/29/21,496,60
43,7430935-05,05/29/21,492,60
44,7430935-05,05/29/21,304,60
45,7430935-05,05/29/21,555,60
46,7430935-05,05/29/21,550,60
47,7430935-05,05/29/21,363,60
